01. Affenpinscher - 12 anos (Small, Toy)
 02. Lhasa Apso - 12 anos (Small, Utility)
 03. King Charles Spaniel - 12 anos (Small, Toy)
 04. Japanese Spitz - 12 anos (Small, Utility)
 05. Cavalier King Charles Spaniel - 12 anos (Small, Toy)
 06. Bichon Frise - 12 anos (Small, Toy)
 07. Bearded Collie - 12 anos (Medium, Pastoral)
 08. Basenji - 12 anos (Small, Hound)
 09. Australian Terrier - 12 anos (Small, Terrier)
 10. Australian Silky Terrier - 12 anos (Small, Toy)
 11. Beagle - 12 anos (Small, Hound)
 12. Greyhound - 10 anos (Large, Hound)
 13. Rottweiler - 10 anos (Large, Working)
 14. Alaskan Malamute - 10 anos (Large, Working)
 15. Chow Chow - 10 anos (Medium, Utility)
 16. Irish Setter - 10 anos (Large, Gundog)
 17. Hovawart - 10 anos (Large, Working)
 18. Great Dane - 10 anos (Extra large, Working)
 19. English Setter - 10 anos (Large, Gundog)
 20. Bulldog - 10 anos (Medium, Utility)
 21. Bull Terrier - 10 anos (Medium, Terrier)
 22. Boston Terrier - 10 anos (Small, Utility)
 23. Bernese Mountain Dog - 10 anos (Large, Working)
 24. Basset Hound - 10 anos (Medium-Large, Hound)
 25. Australian Shepherd - 10 anos (Medium, Pastoral)
 26. Shar Pei - 10 anos (Medium, Utility)
 27. Schnauzer - 10 anos (Medium, Utility)
 28. Pug - 10 anos (Small, Toy)
 29. Dobermann - 10 anos (Large, Working)
 30. Siberian Husky - 10 anos (Medium-Large, Working)
